,text,category,cleaned_text
3682,I just had a wedding and I want to take my spouses name.,edit_personal_details,wedding want take spouse name
7498,Why does it say my transfer failed?,failed_transfer,say transfer failed
6521,I would like to know where the funds are at.,verify_source_of_funds,would like know fund
6829,I received a returned payment that I made.,reverted_card_payment?,received returned payment made
7185,I got charged a fee for transferring money.,transfer_fee_charged,got charged fee transferring money
5665,"My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?",declined_transfer,transfer keep getting declined card working fine however suddenly stopped working
5007,Can you please tell me why I cant get money from the ATM?,declined_cash_withdrawal,please tell cant get money atm
572,Why did they charge me an extra $1?,extra_charge_on_statement,charge extra
9646,why top up is not working even if I got my American Express in Apple Bay?,apple_pay_or_google_pay,top working even got american express apple bay
8416,How can disposable cards be used?,get_disposable_virtual_card,disposable card used
1352,What's going on with my card? I've tried multiple times and it never goes through.,card_not_working,whats going card ive tried multiple time never go
3087,explain the virtual card,getting_virtual_card,explain virtual card
567,Why am I being charged more on exchange with things I bought abroad?,card_payment_wrong_exchange_rate,charged exchange thing bought abroad
1489,"My card has been stolen. I reported it with the police, but I need to report it with you as well.",lost_or_stolen_card,card stolen reported police need report well
9184,How do i activate my card,activate_my_card,activate card
8154,Do I get a real card?,order_physical_card,get real card
9514,Why is there a fee for getting cash?,cash_withdrawal_charge,fee getting cash
9194,It won't let me activate my card.,activate_my_card,wont let activate card
6855,Why would a merchant revert my payment?,reverted_card_payment?,would merchant revert payment
4147,Please give me a Mastercard instead.,visa_or_mastercard,please give mastercard instead
415,Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,card_payment_wrong_exchange_rate,exchange rate terrible cant close actual interbank rate
6595,Will the transfer show up in my account soon?,transfer_timing,transfer show account soon
8510,Is there any reason why my card didn't work when I tried to top up?,top_up_failed,reason card didnt work tried top
1367,Can i add a new currency to my account?,exchange_via_app,add new currency account
8604,Why did my top-up fail?,top_up_failed,topup fail
4237,I can't see my top up in my wallet!,topping_up_by_card,cant see top wallet
4418,How many disposable cards can you own?,disposable_card_limits,many disposable card
5077,I might need a new card because it's not working at any of the ATMs. I don't think ive used all my money. Why is it doing this?,declined_cash_withdrawal,might need new card working atm dont think ive used money
1285,Something's wrong my card won't work.,card_not_working,somethings wrong card wont work
3808,"Can I use my account now, even though my identity verification has not gone through yet?",why_verify_identity,use account even though identity verification gone yet
9074,should i add money via bank transfer instead,top_up_by_card_charge,add money via bank transfer instead
4881,I don't remember my passcode?,passcode_forgotten,dont remember passcode
4242,My card needs to be topped up.,topping_up_by_card,card need topped
221,I need to find the card I received in the app.,card_linking,need find card received app
8037,Can I top up online?,top_up_by_cash_or_cheque,top online
8675,When will I see an updated balance after a transfer?,balance_not_updated_after_bank_transfer,see updated balance transfer
6245,What do I do if the ATM took my card?,card_swallowed,atm took card
7319,Why did I get charged a fee for my transfer?,transfer_fee_charged,get charged fee transfer
3920,I'm not able to verify my identity.,unable_to_verify_identity,im able verify identity
1129,How do I access the option to top up?,automatic_top_up,access option top
8598,My top-up is not working. Why is that?,top_up_failed,topup working
2335,"I tried to withdraw $100, all it gave me was $20.",wrong_amount_of_cash_received,tried withdraw gave
7051,I wasn't able to do a transfer to an account,beneficiary_not_allowed,wasnt able transfer account
1882,How much will it cost me for a SEPA transfer?,top_up_by_bank_transfer_charge,much cost sepa transfer
6896,Do I need to speak to a representative to change my pin?,change_pin,need speak representative change pin
6556,Verify my source of funds?,verify_source_of_funds,verify source fund
8376,What systems do you have in place for my security when using my card for everyday purchases?,get_disposable_virtual_card,system place security using card everyday purchase
6685,Help! I need to transfer something to China.,transfer_timing,help need transfer something china
9794,Can you tell me what I need for identity validation?,verify_my_identity,tell need identity validation
5340,I accidentally left my phone at the hotel so now I'm not able to use the app.,lost_or_stolen_phone,accidentally left phone hotel im able use app
1982,My top-up hasn't gone through,pending_top_up,topup hasnt gone
9829,What documentation do you accept for the identity check?,verify_my_identity,documentation accept identity check
5450,How do I begin the process of a refund?,request_refund,begin process refund
5238,What is the pending payment on my card about?,pending_card_payment,pending payment card
797,My account says I have money but I withdrew it in cash.,pending_cash_withdrawal,account say money withdrew cash
7850,I would like to purchase another card.,getting_spare_card,would like purchase another card
6410,A payment is showing twice. Why is that?,transaction_charged_twice,payment showing twice
6459,"Looks like my card payment was made twice by mistake. I paid at the store earlier which rejected once, second time it worked. App stays at pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice,look like card payment made twice mistake paid store earlier rejected second time worked app stay pending one payment please remove one wrong clearly declined
6645,How long does it take in Europe to do a transfer?,transfer_timing,long take europe transfer
5244,When will my pending payment finish?,pending_card_payment,pending payment finish
9240,"My new card just arrived, how can I activate it?",activate_my_card,new card arrived activate
8363,I think the exchange rate for the cash I withdrew wasn't correct.,wrong_exchange_rate_for_cash_withdrawal,think exchange rate cash withdrew wasnt correct
6588,How can I check to see where my funds come from?,verify_source_of_funds,check see fund come
1519,Help Me!  I lost my card.  What should I do?,lost_or_stolen_card,help lost card
7766,Why do I need to verify a top-up?,verify_top_up,need verify topup
7826,I need a second card on this account for my daughter.,getting_spare_card,need second card account daughter
2327,How much can I top up on my card?,top_up_limits,much top card
8902,I have my card here with me and someone has just made a withdrawal for 500. Please help!,cash_withdrawal_not_recognised,card someone made withdrawal please help
5951,My payment was declined,declined_card_payment,payment declined
9883,Can I use this all over the world?,country_support,use world
332,Where can I get your exchange rates from?,exchange_rate,get exchange rate
6965,"
Do I need to go to a physical bank to change my PIN?",change_pin,need go physical bank change pin
6982,Help me change my PIN.,change_pin,help change pin
7769,Why should I verify the top-up?,verify_top_up,verify topup
6894,If I want to select a new PIN what do I do?,change_pin,want select new pin
8495,Looks like my top up failed.,top_up_failed,look like top failed
5992,When will my transfer finish pending?,pending_transfer,transfer finish pending
4597,need to know places i can withdraw money,atm_support,need know place withdraw money
5891,My card payment didn't go through.,declined_card_payment,card payment didnt go
451,"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",card_payment_wrong_exchange_rate,seem charged much holiday purchase exchange rate wrong
8720,I do not see the money I transferred into this account,balance_not_updated_after_bank_transfer,see money transferred account
1268,I think my card is broke?,card_not_working,think card broke
4402,How many disposable cards per person?,disposable_card_limits,many disposable card per person
1277,What are ways to test why my card might not be working?,card_not_working,way test card might working
1808,My contactless stopped working today no matter where I try to use it. How do I get it to start working again?,contactless_not_working,contactless stopped working today matter try use get start working
5179,My card payment has been pending for a long time now. Why is it taking so long to take. It should have already made it through.,pending_card_payment,card payment pending long time taking long take already made
8660,I am still waiting for a transfer I did,balance_not_updated_after_bank_transfer,still waiting transfer
4196,Mastercard is preferred to me.,visa_or_mastercard,mastercard preferred
9726,Can you explain why my Google Pay Top isn't working?,apple_pay_or_google_pay,explain google pay top isnt working
9300,How can I switch on my new card?,activate_my_card,switch new card
2179,"Hey i need help urgently. I just realised I sent my payment to the wrong account number, there is a typo! Please cancel it immediately, I can't do it anymore from the app",cancel_transfer,hey need help urgently realised sent payment wrong account number typo please cancel immediately cant anymore app
8437,What can you use the disposable cards for?,get_disposable_virtual_card,use disposable card
2364,How can I request cash back? The ATM gave me the wrong amount that I've been charged though...,wrong_amount_of_cash_received,request cash back atm gave wrong amount ive charged though
1462,How do I change to AUD from GBP?,exchange_via_app,change aud gbp
2637,When do i get charged a fee for using the card?,card_payment_fee_charged,get charged fee using card
5852,"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",declined_card_payment,may monthly payment apple declined dont know going retry payment must go tell going please
1038,What is the delivery time to the US?,card_delivery_estimate,delivery time u
4996,I was getting some cash out of the ATM but it cancelled on me without warning.,declined_cash_withdrawal,getting cash atm cancelled without warning
1717,How can I reset my darned PIN number?,pin_blocked,reset darned pin number
5199,I have a payment that hasn't went through yet.,pending_card_payment,payment hasnt went yet
6421,Why do I have a transaction showing multiple times?,transaction_charged_twice,transaction showing multiple time
3374,My balance was not updated with my checque or cash deposit.,balance_not_updated_after_cheque_or_cash_deposit,balance updated checque cash deposit
3523,There seems to be a couple of payments listed in the app I know weren't made by me. Is there a possibility someone has access to my card? Can you find out what's going on?,card_payment_not_recognised,seems couple payment listed app know werent made possibility someone access card find whats going
2204,Please help me!  A payment I made had an error on the account number and I can't cancel on my side.  Can you cancel it?,cancel_transfer,please help payment made error account number cant cancel side cancel
1777,I need a new PIN number.,pin_blocked,need new pin number
8821,Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,cash_withdrawal_not_recognised,somebody made withdrawal account card somebody duplicate card something help please
2369,I only got $20 of the $100 that I attempted to withdraw.,wrong_amount_of_cash_received,got attempted withdraw
5799,I am missing my refund.,Refund_not_showing_up,missing refund
6515,Can I track history on funds?,verify_source_of_funds,track history fund
1420,Is it possible to change from USD to GBP with your App?,exchange_via_app,possible change usd gbp app
664,I need some help figuring out what this strange payment is on my account. It's stays pending and won't go away.,extra_charge_on_statement,need help figuring strange payment account stay pending wont go away
7191,Why am I seeing a transfer fee on my bank statement?,transfer_fee_charged,seeing transfer fee bank statement
8070,tell me how I can order my card.,order_physical_card,tell order card
5242,"Is there something wrong with my card payment? It's been pending a really, really long time.",pending_card_payment,something wrong card payment pending really really long time
7367,Can I receive payments in another currency?,receiving_money,receive payment another currency
5366,I left my phone at the hotel.,lost_or_stolen_phone,left phone hotel
6324,I have been charged twice for the same transaction.,transaction_charged_twice,charged twice transaction
9330,Is my new card activated?,activate_my_card,new card activated
4838,My passcode won't work.,passcode_forgotten,passcode wont work
8421,What is the procedure for depositing a virtual card,get_disposable_virtual_card,procedure depositing virtual card
9427,Why are you charging fees on cash withdrawals? I went to withdraw some money earlier today after buying groceries. There's a fee that wasn't there before.,cash_withdrawal_charge,charging fee cash withdrawal went withdraw money earlier today buying grocery there fee wasnt
444,Why is your exchange rate so bad?,card_payment_wrong_exchange_rate,exchange rate bad
8198,Can I use my virtual card for recurring monthly payments?,virtual_card_not_working,use virtual card recurring monthly payment
6585,How can I find out where the funds are flow?,verify_source_of_funds,find fund flow
5004,Help! My card isn't working at the ATM and I know I used the right PIN. Trying to get my money.,declined_cash_withdrawal,help card isnt working atm know used right pin trying get money
3320,I did a cash deposit to my account but it doesn't show up,balance_not_updated_after_cheque_or_cash_deposit,cash deposit account doesnt show
9399,Why is it I am charged an extra fee when I use the ATM?,cash_withdrawal_charge,charged extra fee use atm
2802,I transferred some money but it hasn't arrived.,transfer_not_received_by_recipient,transferred money hasnt arrived
7846,What is the procedure for me to get more cards on my account?,getting_spare_card,procedure get card account
494,The correct exchange rate wasn't given to me for an item I purchased.,card_payment_wrong_exchange_rate,correct exchange rate wasnt given item purchased
4512,"my card details could be stolen, as i didnt make these transactions",compromised_card,card detail could stolen didnt make transaction
2144,I just realized I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow.,cancel_transfer,realized made wrong transaction yesterday would please make correcti need tomorrow
7772,How are top-ups verified?,verify_top_up,topups verified
6749,Why has my payment been reversed?,reverted_card_payment?,payment reversed
6250,My card got stuck in an ATM.,card_swallowed,card got stuck atm
3528,There's a payment in the app I don't recognize.,card_payment_not_recognised,there payment app dont recognize
2027,How long do top-ups take to go through,pending_top_up,long topups take go
3144,Will my card work at all merchant locations?,card_acceptance,card work merchant location
1214,Will the system automatically top up itself?,automatic_top_up,system automatically top
4349,What is the most amount of disposable cards allowable?,disposable_card_limits,amount disposable card allowable
2129,Help! I need to cancel a transaction.,cancel_transfer,help need cancel transaction
3738,My address needs to be changed.,edit_personal_details,address need changed
1652,How old do you need to be to have an account?,age_limit,old need account
6812,Why did my payment not go through why did it cancel?,reverted_card_payment?,payment go cancel
2168,I am trying to revert a transcation I did this morning,cancel_transfer,trying revert transcation morning
6191,How do I terminate my account.,terminate_account,terminate account
7878,I need more physical cards than I have right now!,getting_spare_card,need physical card right
3593,I have a card payment that I don't recognize. What should I do?,card_payment_not_recognised,card payment dont recognize
9301,"With my new card, how may I activate it?",activate_my_card,new card may activate
1556,Could you assist me in finding my lost card?,lost_or_stolen_card,could assist finding lost card
5362,What do I do if my smart phone was stolen?,lost_or_stolen_phone,smart phone stolen
8348,Rates were applied wrong while using foreign currency at an ATM.,wrong_exchange_rate_for_cash_withdrawal,rate applied wrong using foreign currency atm
7265,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",transfer_fee_charged,made transfer according receiver havent received right amount lesser benow transfer money make missing amount please help thiswhat done
2416,"Why did I not get all the money that I asked for? I asked for all the cash in my my account, but I only got about half. Why is that??",wrong_amount_of_cash_received,get money asked asked cash account got half
7615,I want to transfer money into my account,transfer_into_account,want transfer money account
4240,How can my friends top up my account?,topping_up_by_card,friend top account
7777,Where do I find the verification code for the card I'm topping up?,verify_top_up,find verification code card im topping
4117,"I have a Visa and Mastercard, can I use these?",visa_or_mastercard,visa mastercard use
2131,If I make a mistake can I cancel the transaction?,cancel_transfer,make mistake cancel transaction
5679,Why is my refund not showing up on the statement?,Refund_not_showing_up,refund showing statement
9501,Why was there an extra charge with the withdrawal of my money?,cash_withdrawal_charge,extra charge withdrawal money
3811,What is the purpose of requiring my identification?,why_verify_identity,purpose requiring identification
8997,Is there an additional cost to exchange currencies?,exchange_charge,additional cost exchange currency
2969,Can I use this app for any currency?,supported_cards_and_currencies,use app currency
1909,Do I pay a fee for SEPA transfers?,top_up_by_bank_transfer_charge,pay fee sepa transfer
207,I received my card. How do I link it to the app?,card_linking,received card link app
1907,Can I Transfer from SWIFT?,top_up_by_bank_transfer_charge,transfer swift
7389,May I get my salary paid out in a different currency?,receiving_money,may get salary paid different currency
8129,How to receive the actual card,order_physical_card,receive actual card
7759,Do I need to verify the top-up?,verify_top_up,need verify topup
8812,I was checking my account when I saw a $500 cash withdraw that I know I didn't do.  I have my card so I don't understand how this happened.  Please help me.,cash_withdrawal_not_recognised,checking account saw cash withdraw know didnt card dont understand happened please help
5483,How can I get a refund for a purchase?,request_refund,get refund purchase
758,Why is my cash withdrawal still pending?,pending_cash_withdrawal,cash withdrawal still pending
5033,What caused my cash withdrawal to be declined?,declined_cash_withdrawal,caused cash withdrawal declined
6187,Delete my account now please.,terminate_account,delete account please
5466,It has been forever ago that I made an order online. The product simply is not coming. Just give me back my money because I'm not paying these people.,request_refund,forever ago made order online product simply coming give back money im paying people
1813,Are my contactless settings correct? I tried to use it today but it wasn't working.,contactless_not_working,contactless setting correct tried use today wasnt working
8411,How can I go about getting a disposable virtual card?,get_disposable_virtual_card,go getting disposable virtual card
2279,What number of times can I top-up?,top_up_limits,number time topup
805,"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",pending_cash_withdrawal,hello im trouble card dont understand whats happening tried using atm machine earlier wasnt working seems like transaction still progress cancel
2498,I did not receive all of my cash back,wrong_amount_of_cash_received,receive cash back
8917,"I think someone might have a copy of my card because a 500 dollar withdrawal was made, and it wasn't me. Can you please help?",cash_withdrawal_not_recognised,think someone might copy card dollar withdrawal made wasnt please help
5776,how does my statement get updated so i know when a refund will reflect on my balance,Refund_not_showing_up,statement get updated know refund reflect balance
7256,Why was I charged a random fee for a transfer I made?,transfer_fee_charged,charged random fee transfer made
7311,Will I get extra charges?,transfer_fee_charged,get extra charge
481,They used the wrong rate when I made a purchase with foreign currency.,card_payment_wrong_exchange_rate,used wrong rate made purchase foreign currency
5807,"I'm looking at my statement, and my refund is not on there.",Refund_not_showing_up,im looking statement refund
5097,How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move,pending_card_payment,long actually take card payment go there one stuck since couple day already doesnt seem move
8859,I believe my card has been compromised because of a strange withdrawal,cash_withdrawal_not_recognised,believe card compromised strange withdrawal
8948,What are the currency exchange fees?,exchange_charge,currency exchange fee
4750,Help!  In the app there is a direct debit that I don't remember.,direct_debit_payment_not_recognised,help app direct debit dont remember
6298,Will you please help me get my card back?,card_swallowed,please help get card back
369,On what do you base your exchange rates?,exchange_rate,base exchange rate
1738,My PIN isn't working.,pin_blocked,pin isnt working
7549,Can you please explain why my transfer failed?,failed_transfer,please explain transfer failed
5156,I am waiting for a payment to be processed,pending_card_payment,waiting payment processed
919,what currencies do you accept?,fiat_currency_support,currency accept
2786,How long do money transfers take? My friend really needs the money i sent a couple of hours ago but it's not there yet.,transfer_not_received_by_recipient,long money transfer take friend really need money sent couple hour ago yet
2719,How much time do transfers typically take? I sent money to a friend who needs it urgently. It's been hours and has not gone through.,transfer_not_received_by_recipient,much time transfer typically take sent money friend need urgently hour gone
5674,"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long.  Can you look into it and see if the money is there, just not in my account yet?",Refund_not_showing_up,dont see refund money yet account asked merchant ago refund dont know whats taking long look see money account yet
9183,I tried activating my plug-in and it didn't piece of work,activate_my_card,tried activating plugin didnt piece work
7033,I need to transfer to my account and cant.,beneficiary_not_allowed,need transfer account cant
3007,Where is my virtual card?,getting_virtual_card,virtual card
4179,I anticipate getting a Visa card,visa_or_mastercard,anticipate getting visa card
1119,i need help finding the auto top up option.,automatic_top_up,need help finding auto top option
1849,why do you charge for transfers?,top_up_by_bank_transfer_charge,charge transfer
5236,Why is this payment pending?,pending_card_payment,payment pending
730,How long will the $1 charge show as pending?,extra_charge_on_statement,long charge show pending
3966,Why is my identity not verified?,unable_to_verify_identity,identity verified
8440,Can you tell me what the disposable cards are used for?,get_disposable_virtual_card,tell disposable card used
1335,My card no longer works.,card_not_working,card longer work
9415,How come my cash withdrawal came with an unnecessary fee?!,cash_withdrawal_charge,come cash withdrawal came unnecessary fee
3397,"After I deposited my cash, I still don't see it in my account.",balance_not_updated_after_cheque_or_cash_deposit,deposited cash still dont see account
9109,Do I get charged if I top up with my European bank card?,top_up_by_card_charge,get charged top european bank card
761,I made a cash withdrawal at an ATM but it still says pending in my account.,pending_cash_withdrawal,made cash withdrawal atm still say pending account
9002,What is the fee for accepting money from a foreign country?,exchange_charge,fee accepting money foreign country
4038,How do I request the PIN?,get_physical_card,request pin
2808,I haven't received money from a transfer?,transfer_not_received_by_recipient,havent received money transfer
3085,I heard you have virtual cards. How do I get one?,getting_virtual_card,heard virtual card get one
209,How do I add the card I just received to show up in the app?,card_linking,add card received show app
7248,Why have I been charged a fee for transferring money?,transfer_fee_charged,charged fee transferring money
4659,"hey, I think someone stole my card numbers. There is a purchase showing up on my app from a store pretty far away from me.. I really need that money back to pay my rent.",direct_debit_payment_not_recognised,hey think someone stole card number purchase showing app store pretty far away really need money back pay rent
2479,I received the wrong amount of cash from the ATM. Can you help?,wrong_amount_of_cash_received,received wrong amount cash atm help
3044,How do I get a virtual card on my device?,getting_virtual_card,get virtual card device
7366,What are the steps for my friend to send me money?,receiving_money,step friend send money
3120,Where can my card be used?,card_acceptance,card used
9911,What countries are you available in?,country_support,country available
2436,I did not get all the cash at ATM.,wrong_amount_of_cash_received,get cash atm
1131,How low does the balance have to be before the system updates?,automatic_top_up,low balance system update
6179,"your company is awful, i would like to delete my account please",terminate_account,company awful would like delete account please
5666,I went to do a transfer and it was declined.,declined_transfer,went transfer declined
8311,I got money overseas and the exchange rate was wrong,wrong_exchange_rate_for_cash_withdrawal,got money overseas exchange rate wrong
8820,My wallet was just stolen and I see my account already has a withdrawal. Can you please help me.,cash_withdrawal_not_recognised,wallet stolen see account already withdrawal please help
6887,I need to make my card PIN a different number,change_pin,need make card pin different number
1809,How do I troubleshoot when contactless doesn't work?,contactless_not_working,troubleshoot contactless doesnt work
5927,"my card was refused, why?",declined_card_payment,card refused
681,Can you please explain to me why there is an extra €1 fee in my statement?,extra_charge_on_statement,please explain extra fee statement
646,What is this extra €1 fee about?,extra_charge_on_statement,extra fee
5195,Why is the payment I made still pending?,pending_card_payment,payment made still pending
1484,Help! I lost my card!,lost_or_stolen_card,help lost card
8451,Please explain how disposable virtual card work.,get_disposable_virtual_card,please explain disposable virtual card work
3177,How come I can't put money in my top up account?,top_up_reverted,come cant put money top account
9903,What are the countries that you operate in?,country_support,country operate
799,I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,pending_cash_withdrawal,didnt receive money earlier say transaction still progress fix
8798,There is a withdrawal on my account I didn't make.,cash_withdrawal_not_recognised,withdrawal account didnt make
4194,Is it possible to obtain both a Visa and a Mastercard from you?,visa_or_mastercard,possible obtain visa mastercard
516,Are you sure this is the interbank exchange rate? This rate is really bad.,card_payment_wrong_exchange_rate,sure interbank exchange rate rate really bad
8128,Where do we mail the card?,order_physical_card,mail card
6705,Estimated time arrival for transfers?,transfer_timing,estimated time arrival transfer
6615,Where is my money transfer?,transfer_timing,money transfer
4811,I haven't used my card all day but there is a payment showing in the app. Please cancel it!,direct_debit_payment_not_recognised,havent used card day payment showing app please cancel
1778,Can you unblock my account?  I entered the PIN wrong.,pin_blocked,unblock account entered pin wrong
6674,"I transferred money from the US, How long does it take?",transfer_timing,transferred money u long take
6071,My account says I have a pending transfer.,pending_transfer,account say pending transfer
5300,I left my phone at the hotel I was staying at so I can't use the app!,lost_or_stolen_phone,left phone hotel staying cant use app
1041,When can I expect my card?,card_delivery_estimate,expect card
2400,I attempted to withdraw some money from an ATM this morning and received the wrong amount. Your app says I have enough money available in the account. Can someone tell me what's wrong?,wrong_amount_of_cash_received,attempted withdraw money atm morning received wrong amount app say enough money available account someone tell whats wrong
1877,do you have a fee for receiving a SEPA transfer?,top_up_by_bank_transfer_charge,fee receiving sepa transfer
9880,Can I get a card in the EU?,country_support,get card eu
3045,How do I access the virtual card?,getting_virtual_card,access virtual card
264,I found my card! Can I link it back into the app?,card_linking,found card link back app
9085,Do I get charged for a top up from a European bank?,top_up_by_card_charge,get charged top european bank
1127,Can I have my account add money automatically in certain intervals?,automatic_top_up,account add money automatically certain interval
7009,A transfer to my account was denied.,beneficiary_not_allowed,transfer account denied
7706,How can I verify the top-up card?,verify_top_up,verify topup card
749,"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",pending_cash_withdrawal,transaction cash pulled atm earlier pending app already cash
8380,Do you offer disposable virtual cards too?,get_disposable_virtual_card,offer disposable virtual card
7517,I tried to transfer money but it didn't go through,failed_transfer,tried transfer money didnt go
445,The exchange rate looks wrong on a holiday purchase,card_payment_wrong_exchange_rate,exchange rate look wrong holiday purchase
1545,What do I do if my card was stolen.,lost_or_stolen_card,card stolen
4916,What can I do if my passcode won't work?,passcode_forgotten,passcode wont work
6425,To many charges on my card how do I go about fixing that?,transaction_charged_twice,many charge card go fixing
7153,What are then rules on beneficiaries?,beneficiary_not_allowed,rule beneficiary
1959,Why hasnt my top up gone through yet?? I thought it was suppose to be instant? Am I wrong? Why is it still pending?,pending_top_up,hasnt top gone yet thought suppose instant wrong still pending
6074,How long does it take for pending transfer transactions to post?,pending_transfer,long take pending transfer transaction post
6478,My account seems a bit off and getting weird charges.,transaction_charged_twice,account seems bit getting weird charge
9186,My card needs to be activated.,activate_my_card,card need activated
5595,How do I contact customer support about my declined transfer?,declined_transfer,contact customer support declined transfer
